"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Value of Sales (Euro Million)",13.3,6.8,4.1,3.9,6.7,8.0,5.8,5.5,4.4
" "," "," "," "," ","Mean Sale Price (Euro)",185073,116651,90456,81576,81826,73359,93313,103830,140469
" "," "," "," "," ","Median Price (Euro)",178334,99999,79450,65300,61213,59349,79398,61290,167413
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",176,102,186,111,175,186,150,225,433
" "," "," "," "," ","Value of Sales (Euro Million)",40.4,19.0,38.6,15.5,24.3,26.4,31.7,58.8,107.9
" "," "," "," "," ","Mean Sale Price (Euro)",229715,186569,207739,139294,138621,141724,211068,261326,249095
" "," "," "," "," ","Median Price (Euro)",235513,176148,195000,121579,135000,142438,209487,235512,241983
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",178,121,98,78,136,165,107,88,104
" "," "," "," "," ","Value of Sales (Euro Million)",30.8,17.7,13.4,8.1,13.5,17.5,11.8,12.1,15.8
" "," "," "," "," ","Mean Sale Price (Euro)",173247,146236,136350,103773,99395,106355,110398,137965,151610
" "," "," "," "," ","Median Price (Euro)",177387,141875,118436,100441,79121,90000,96475,123999,131944
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",357,237,169,166,244,236,418,809,964
" "," "," "," "," ","Value of Sales (Euro Million)",84.0,51.7,29.0,34.8,44.5,59.9,104.0,231.5,298.2
" "," "," "," "," ","Mean Sale Price (Euro)",235321,218273,171572,209659,182212,253935,248884,286164,309333
" "," "," "," "," ","Median Price (Euro)",225000,213000,169989,187275,160001,255131,246564,283750,298499
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",95,75,49,82,82,63,38,48,68
" "," "," "," "," ","Value of Sales (Euro Million)",17.9,11.9,7.4,9.9,8.7,7.8,6.7,6.7,11.0
" "," "," "," "," ","Mean Sale Price (Euro)",188216,158516,151882,120927,106203,123453,176523,139112,162462
" "," "," "," "," ","Median Price (Euro)",185000,150000,147550,110000,96210,128950,180000,170000,188000
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",95,51,58,45,44,57,27,69,33
" "," "," "," "," ","Value of Sales (Euro Million)",16.9,8.4,5.9,4.6,4.1,5.1,2.5,10.9,4.5
" "," "," "," "," ","Mean Sale Price (Euro)",177490,165066,102536,101381,94309,90047,93991,158226,137827
" "," "," "," "," ","Median Price (Euro)",170250,149950,105000,76045,88566,79450,56750,165001,147550
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",121,71,74,109,94,93,92,71,111
" "," "," "," "," ","Value of Sales (Euro Million)",21.5,9.8,8.1,9.0,7.3,6.0,7.2,7.8,11.7
" "," "," "," "," ","Mean Sale Price (Euro)",178053,138095,109277,82381,77917,64762,78202,110297,105458
" "," "," "," "," ","Median Price (Euro)",175925,140000,108450,73775,61865,37525,56750,103894,100000
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",135,68,76,77,114,118,92,82,101
" "," "," "," "," ","Value of Sales (Euro Million)",24.4,10.2,8.3,9.2,13.4,12.2,11.2,10.6,19.3
" "," "," "," "," ","Mean Sale Price (Euro)",180473,149271,108976,120079,117877,103581,122036,129530,190654
" "," "," "," "," ","Median Price (Euro)",169683,133438,104420,92299,109500,91652,107748,85700,157765
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",177,179,89,57,88,110,113,116,126
" "," "," "," "," ","Value of Sales (Euro Million)",34.2,36.2,14.8,5.5,10.0,15.3,16.0,18.6,19.9
