"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Mean Sale Price (Euro)",34558,20411,13184,30083,19533,12829,25213,24483,29358
" "," "," "," "," ","Median Price (Euro)",0,0,0,116,0,0,0,0,0
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",102,106,141,162,222,138,155,162,117
" "," "," "," "," ","Value of Sales (Euro Million)",3.6,2.0,2.2,3.1,4.7,2.8,4.3,5.6,3.8
" "," "," "," "," ","Mean Sale Price (Euro)",35549,19203,15666,19428,21342,20342,27856,34687,32370
" "," "," "," "," ","Median Price (Euro)",0,0,0,20882,16250,12000,10000,4300,0
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",247,212,229,179,202,277,227,215,227
" "," "," "," "," ","Value of Sales (Euro Million)",7.4,5.1,4.5,3.6,5.0,6.8,6.4,6.3,9.9
" "," "," "," "," ","Mean Sale Price (Euro)",29759,23961,19451,20023,24604,24612,28273,29163,43480
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",1010,971,1088,908,916,822,949,1070,978
" "," "," "," "," ","Value of Sales (Euro Million)",33.4,29.3,43.5,36.7,30.5,36.9,45.0,69.5,54.1
" "," "," "," "," ","Mean Sale Price (Euro)",33024,30133,39975,40415,33282,44919,47420,64923,55286
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",373,291,396,271,346,277,283,336,361
" "," "," "," "," ","Value of Sales (Euro Million)",9.4,8.5,7.7,5.3,8.1,5.4,7.3,6.5,8.5
" "," "," "," "," ","Mean Sale Price (Euro)",25263,29248,19548,19723,23461,19524,25650,19289,23655
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",1765,1956,2208,2003,2130,1995,2211,2182,2339
" "," "," "," "," ","Value of Sales (Euro Million)",130.3,118.3,148.9,161.0,283.8,216.6,247.3,289.9,264.7
" "," "," "," "," ","Mean Sale Price (Euro)",73830,60491,67442,80404,133231,108568,111858,132861,113149
" "," "," "," "," ","Median Price (Euro)",0,0,11,6000,16857,63,1,1706,4
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",413,439,510,434,444,439,527,551,577
" "," "," "," "," ","Value of Sales (Euro Million)",17.2,16.4,13.0,17.6,21.2,18.2,30.6,43.6,34.6
" "," "," "," "," ","Mean Sale Price (Euro)",41577,37248,25421,40521,47851,41411,58021,79160,59986
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,32,0
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",336,368,412,341,300,323,336,361,415
" "," "," "," "," ","Value of Sales (Euro Million)",8.6,10.7,8.7,11.7,6.2,8.6,9.8,10.1,12.0
" "," "," "," "," ","Mean Sale Price (Euro)",25469,29000,21148,34189,20625,26672,29230,28081,28982
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",281,250,282,219,211,222,239,288,333
" "," "," "," "," ","Value of Sales (Euro Million)",12.0,6.9,9.0,8.3,11.1,16.9,26.8,19.9,25.9
" "," "," "," "," ","Mean Sale Price (Euro)",42692,27635,31788,37857,52374,76233,112092,69253,77828
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,1,0,0,45
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",141,152,167,122,109,121,143,136,144
" "," "," "," "," ","Value of Sales (Euro Million)",5.2,3.6,3.8,2.9,4.5,4.0,3.5,4.4,8.0
" "," "," "," "," ","Mean Sale Price (Euro)",36567,23714,22629,23676,40887,32687,24576,32272,55882
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",104,129,167,140,91,85,132,144,138
" "," "," "," "," ","Value of Sales (Euro Million)",4.0,3.6,4.5,2.1,1.9,1.8,2.8,4.6,6.4
" "," "," "," "," ","Mean Sale Price (Euro)",38165,28177,27018,14742,20743,21292,21099,31912,46481
" "," "," "," "," ","Median Price (Euro)",0,0,0,6,0,0,0,0,0
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",67,60,78,64,61,49,76,81,83
" "," "," "," "," ","Value of Sales (Euro Million)",1.3,1.0,1.0,1.1,1.2,1.5,1.8,0.8,2.3
" "," "," "," "," ","Mean Sale Price (Euro)",18918,16578,13021,17249,19674,30339,23903,10382,27401
" "," "," "," "," ","Median Price (Euro)",0,0,0,15371,410,10,0,0,0
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",338,322,356,260,304,415,283,318,345
" "," "," "," "," ","Value of Sales (Euro Million)",12.3,7.9,14.9,8.0,9.0,11.9,11.4,12.6,13.3
" "," "," "," "," ","Mean Sale Price (Euro)",36475,24533,41930,30881,29522,28569,40155,39509,38562
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,8455,0,0,0
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",63,77,87,111,86,75,54,72,100
" "," "," "," "," ","Value of Sales (Euro Million)",1.7,1.1,2.0,2.2,2.1,1.1,0.9,1.0,1.8
" "," "," "," "," ","Mean Sale Price (Euro)",27143,13917,22545,19425,24218,15239,17417,14235,18352
" "," "," "," "," ","Median Price (Euro)",0,0,0,12800,18320,6847,0,0,0
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",217,182,278,227,196,252,204,242,244
" "," "," "," "," ","Value of Sales (Euro Million)",8.5,3.7,5.9,5.9,5.1,7.5,6.8,9.3,8.3
" "," "," "," "," ","Mean Sale Price (Euro)",39054,20191,21117,25868,26077,29767,33376,38269,34150
" "," "," "," "," ","Median Price (Euro)",0,0,1,10,0,37,0,11,0
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",250,267,313,262,256,232,227,247,286
" "," "," "," "," ","Value of Sales (Euro Million)",4.9,7.4,6.0,6.1,3.9,4.1,5.9,6.0,6.0
" "," "," "," "," ","Mean Sale Price (Euro)",19707,27530,19261,23200,15246,17831,25915,24438,20825
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",231,215,237,187,199,233,212,250,292
" "," "," "," "," ","Value of Sales (Euro Million)",10.6,4.3,6.4,6.5,9.1,12.4,9.3,14.9,17.8
" "," "," "," "," ","Mean Sale Price (Euro)",45788,19807,27019,34591,45610,53226,43877,59593,60920
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",100,104,107,88,79,74,82,97,112
" "," "," "," "," ","Value of Sales (Euro Million)",5.1,4.4,1.7,0.9,1.5,1.6,2.0,3.6,2.9
" "," "," "," "," ","Mean Sale Price (Euro)",51009,41966,15794,10142,18994,21253,24166,37306,25783
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,19,0,0
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",120,105,122,97,96,103,115,125,167
" "," "," "," "," ","Value of Sales (Euro Million)",3.2,3.3,2.8,2.1,3.0,2.6,2.5,4.0,5.3
" "," "," "," "," ","Mean Sale Price (Euro)",26508,31881,23101,22101,31048,24981,22124,31779,31850
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",126,103,131,102,116,152,169,124,134
" "," "," "," "," ","Value of Sales (Euro Million)",2.5,2.4,1.7,1.7,2.0,3.8,2.7,2.1,2.8
" "," "," "," "," ","Mean Sale Price (Euro)",19806,23349,12992,16274,17119,25175,15687,16567,21118
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,1,14167,0,0,0
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",129,140,140,131,109,117,169,128,164
" "," "," "," "," ","Value of Sales (Euro Million)",3.3,2.3,3.1,2.4,1.9,3.0,3.4,3.0,7.0
" "," "," "," "," ","Mean Sale Price (Euro)",25439,16568,21800,18304,17757,25736,19987,23343,42643
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,1,0,0
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",290,258,296,211,266,267,279,331,367
" "," "," "," "," ","Value of Sales (Euro Million)",11.9,8.2,6.9,4.6,6.2,7.4,6.5,10.2,12.9
" "," "," "," "," ","Mean Sale Price (Euro)",40926,31682,23449,21573,23150,27814,23208,30806,35143
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",225,193,219,190,178,176,189,226,247
" "," "," "," "," ","Value of Sales (Euro Million)",11.0,7.4,5.3,5.1,4.8,5.3,5.4,6.9,12.8
" "," "," "," "," ","Mean Sale Price (Euro)",49037,38476,24090,26883,27068,30270,28748,30643,51852
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,1,0,0,26,0
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",134,154,172,111,130,176,155,172,158
" "," "," "," "," ","Value of Sales (Euro Million)",4.4,3.4,4.7,2.7,4.0,3.8,4.5,6.2,4.7
" "," "," "," "," ","Mean Sale Price (Euro)",32689,22024,27518,24114,30385,21592,29175,36171,29541
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",241,244,272,214,223,240,216,276,267
" "," "," "," "," ","Value of Sales (Euro Million)",8.4,4.8,7.2,5.8,6.0,4.9,5.4,10.5,9.1
" "," "," "," "," ","Mean Sale Price (Euro)",35000,19561,26544,26890,26897,20361,24938,38053,34269
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",202,313,272,211,206,190,184,226,232
" "," "," "," "," ","Value of Sales (Euro Million)",11.8,8.9,8.3,10.5,10.9,10.9,9.2,19.1,13.7
" "," "," "," "," ","Mean Sale Price (Euro)",58553,28585,30524,49654,53046,57222,49903,84336,59142
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" ","Household Buyer - All"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",8341,8888,9315,7810,7280,7810,7961,8325,8795
" "," "," "," "," ","Value of Sales (Euro Million)",399.3,325.4,304.5,290.0,305.6,390.9,435.6,467.2,525.8
" "," "," "," "," ","Mean Sale Price (Euro)",47866,36616,32693,37131,41982,50048,54715,56121,59789
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",87,109,86,110,105,104,81,119,106
" "," "," "," "," ","Value of Sales (Euro Million)",3.9,2.0,1.2,2.3,2.6,2.2,1.8,2.8,2.9
" "," "," "," "," ","Mean Sale Price (Euro)",44556,18709,13389,21049,24341,20987,21851,23369,27296
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",118,111,167,117,124,125,169,159,116
" "," "," "," "," ","Value of Sales (Euro Million)",4.9,2.7,2.6,2.1,3.5,2.6,4.4,5.6,3.9
" "," "," "," "," ","Mean Sale Price (Euro)",41859,24650,15292,17848,28026,20981,25912,35339,33644
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,15500,1,27,7600,0
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",283,288,221,250,210,205,210,222,204
" "," "," "," "," ","Value of Sales (Euro Million)",9.6,6.0,6.3,6.1,4.1,5.3,6.3,5.4,8.7
" "," "," "," "," ","Mean Sale Price (Euro)",33783,20859,28654,24515,19703,25786,29966,24398,42471
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",1141,1092,1163,974,912,908,964,1020,995
" "," "," "," "," ","Value of Sales (Euro Million)",49.4,35.8,36.8,33.9,27.7,40.0,44.8,47.9,51.6
" "," "," "," "," ","Mean Sale Price (Euro)",43310,32752,31650,34773,30421,44038,46483,46915,51842
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",356,334,423,314,350,303,271,313,371
" "," "," "," "," ","Value of Sales (Euro Million)",11.3,8.8,9.2,6.4,7.7,5.9,7.0,6.1,8.6
" "," "," "," "," ","Mean Sale Price (Euro)",31833,26309,21843,20432,21980,19516,25821,19496,23238
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",1999,2100,2222,2001,1726,1966,2143,2124,2302
" "," "," "," "," ","Value of Sales (Euro Million)",144.6,131.5,130.1,131.0,144.0,203.6,234.6,243.8,259.9
" "," "," "," "," ","Mean Sale Price (Euro)",72313,62618,58529,65477,83449,103544,109461,114784,112894
" "," "," "," "," ","Median Price (Euro)",0,0,0,63,16,10,2,4,4
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",475,524,551,510,433,476,530,487,558
" "," "," "," "," ","Value of Sales (Euro Million)",21.5,18.5,15.7,15.4,19.7,20.5,29.2,24.9,28.3
" "," "," "," "," ","Mean Sale Price (Euro)",45254,35236,28498,30216,45516,43098,55157,51096,50750
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",383,428,451,369,309,360,369,378,389
" "," "," "," "," ","Value of Sales (Euro Million)",11.1,10.2,10.0,10.1,6.7,7.9,9.5,9.0,9.1
" "," "," "," "," ","Mean Sale Price (Euro)",29083,23802,22120,27283,21740,22012,25627,23747,23320
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",381,286,336,226,261,262,259,296,322
" "," "," "," "," ","Value of Sales (Euro Million)",14.2,11.5,9.3,10.4,10.6,17.6,18.7,17.9,26.7
" "," "," "," "," ","Mean Sale Price (Euro)",37341,40338,27655,46171,40508,67039,72139,60631,83047
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,45
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",146,186,170,139,114,145,141,133,142
" "," "," "," "," ","Value of Sales (Euro Million)",6.9,3.7,3.9,3.1,3.4,3.8,3.7,3.5,7.3
" "," "," "," "," ","Mean Sale Price (Euro)",47514,19671,23168,22128,30190,26159,26494,26096,51195
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",119,162,183,136,95,98,118,117,135
" "," "," "," "," ","Value of Sales (Euro Million)",6.1,6.9,4.7,2.6,1.9,2.1,2.2,4.0,6.4
" "," "," "," "," ","Mean Sale Price (Euro)",51300,42430,25871,19246,19934,21367,18351,34149,47633
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",71,81,75,71,62,63,73,85,86
" "," "," "," "," ","Value of Sales (Euro Million)",2.4,1.5,1.6,1.2,1.2,1.3,1.4,1.1,2.4
" "," "," "," "," ","Mean Sale Price (Euro)",33465,18366,20687,16794,20079,21018,19812,13259,27724
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,10000,0,0,0,0
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",380,386,382,274,303,433,323,316,348
" "," "," "," "," ","Value of Sales (Euro Million)",16.1,10.9,10.9,9.4,8.1,12.2,9.7,12.3,11.6
" "," "," "," "," ","Mean Sale Price (Euro)",42247,28341,28505,34364,26822,28085,29999,38837,33443
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,8455,0,0,0
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",73,89,91,118,85,88,64,83,98
" "," "," "," "," ","Value of Sales (Euro Million)",3.0,1.2,1.7,2.6,1.9,1.4,1.2,1.4,1.9
" "," "," "," "," ","Mean Sale Price (Euro)",41113,13371,19145,22006,22632,15699,18096,16324,19283
" "," "," "," "," ","Median Price (Euro)",0,0,0,15000,15000,6847,0,0,0
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",200,208,289,258,249,230,225,213,240
" "," "," "," "," ","Value of Sales (Euro Million)",7.7,5.4,5.7,6.8,8.0,6.6,8.4,5.7,7.2
" "," "," "," "," ","Mean Sale Price (Euro)",38596,25994,19729,26262,32074,28723,37413,26871,30077
" "," "," "," "," ","Median Price (Euro)",0,0,0,10,10,11,0,0,0
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",265,329,321,284,263,233,249,248,291
" "," "," "," "," ","Value of Sales (Euro Million)",7.4,8.6,6.2,6.6,3.8,3.9,4.9,6.3,6.2
" "," "," "," "," ","Mean Sale Price (Euro)",27886,26073,19301,23108,14349,16583,19868,25336,21204
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",240,266,290,189,213,241,251,281,266
" "," "," "," "," ","Value of Sales (Euro Million)",11.4,6.8,7.1,6.5,9.1,13.4,9.9,15.7,16.9
" "," "," "," "," ","Mean Sale Price (Euro)",47516,25384,24655,34231,42531,55701,39383,55751,63643
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",97,120,112,109,75,94,78,107,121
" "," "," "," "," ","Value of Sales (Euro Million)",4.3,3.8,1.5,1.2,1.2,1.9,1.6,3.0,4.1
" "," "," "," "," ","Mean Sale Price (Euro)",44209,31767,13696,10932,16310,20171,20256,27845,34159
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",117,138,128,118,98,102,108,137,138
" "," "," "," "," ","Value of Sales (Euro Million)",4.5,3.9,2.4,2.8,2.5,2.9,2.5,4.1,5.0
" "," "," "," "," ","Mean Sale Price (Euro)",38196,28242,19016,23597,25465,28413,23229,29698,36078
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",153,129,149,115,127,141,150,138,144
" "," "," "," "," ","Value of Sales (Euro Million)",3.5,3.0,1.8,1.9,1.9,3.0,2.2,2.4,2.6
" "," "," "," "," ","Mean Sale Price (Euro)",22731,23459,11913,16736,15255,21619,14541,17312,18190
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,65,11350,0,0,0
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",129,161,163,137,130,143,137,143,160
" "," "," "," "," ","Value of Sales (Euro Million)",4.0,2.6,3.4,2.5,2.3,2.9,2.8,2.7,6.4
" "," "," "," "," ","Mean Sale Price (Euro)",30861,16348,21011,18444,17326,20329,20348,19091,40181
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",299,320,345,215,267,268,294,300,361
" "," "," "," "," ","Value of Sales (Euro Million)",12.1,11.6,7.4,4.6,5.6,7.4,5.4,9.3,12.4
" "," "," "," "," ","Mean Sale Price (Euro)",40450,36165,21372,21232,21147,27536,18495,30953,34431
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",220,235,227,195,176,182,196,232,233
" "," "," "," "," ","Value of Sales (Euro Million)",12.7,7.8,5.2,3.4,4.0,4.7,5.8,6.5,7.1
" "," "," "," "," ","Mean Sale Price (Euro)",57621,33146,23093,17238,22895,26080,29414,27974,30589
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,1,0,0,1,0
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",155,169,190,123,135,152,145,162,150
" "," "," "," "," ","Value of Sales (Euro Million)",5.0,3.9,4.4,3.3,4.7,3.5,3.3,3.9,4.5
" "," "," "," "," ","Mean Sale Price (Euro)",32183,23199,23323,27156,35055,22932,22781,24266,30091
" "," "," "," "," ","Median Price (Euro)",0,0,0,1,0,0,0,0,0
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",249,288,283,228,223,266,226,270,272
" "," "," "," "," ","Value of Sales (Euro Million)",8.7,6.1,6.9,5.1,6.5,4.4,5.3,9.5,8.7
" "," "," "," "," ","Mean Sale Price (Euro)",34937,21100,24255,22240,29166,16365,23604,35010,31848
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",205,349,297,230,235,222,187,242,247
" "," "," "," "," ","Value of Sales (Euro Million)",13.1,10.8,8.4,8.8,12.7,9.9,9.0,12.6,15.3
" "," "," "," "," ","Mean Sale Price (Euro)",63663,30967,28430,38156,54121,44819,48373,52092,62107
" "," "," "," "," ","Median Price (Euro)",0,0,0,0,0,0,0,0,0
" "," "," ","New"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",783,581,512,425,408,403,370,370,367
" "," "," "," "," ","Value of Sales (Euro Million)",67.3,37.2,31.9,22.6,18.8,21.6,34.2,33.7,53.2
" "," "," "," "," ","Mean Sale Price (Euro)",85976,63988,62250,53219,46162,53609,92449,91205,145070
" "," "," "," "," ","Median Price (Euro)",0,0,0,30,16782,0,0,0,0
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",7,13,1,3,3,2,2,3,4
" "," "," "," "," ","Value of Sales (Euro Million)",0.5,0.5,0.0,0.0,0.0,0.5,0.0,0.1,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",65116,36759,0,9458,4,227000,0,17696,19
" "," "," "," "," ","Median Price (Euro)",12701,0,0,0,0,227000,0,0,0
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",15,13,4,15,19,11,7,5,5
" "," "," "," "," ","Value of Sales (Euro Million)",1.5,0.8,0.3,0.3,0.7,0.5,0.4,0.2,0.1
" "," "," "," "," ","Mean Sale Price (Euro)",98513,64008,70654,21762,37934,47926,57000,30350,10669
" "," "," "," "," ","Median Price (Euro)",136200,56750,56183,24970,24970,22700,84999,0,0
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",23,22,4,41,8,9,8,6,2
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,0.4,1.8,2.3,0.2,0.0,0.0,0.4,0.0
" "," "," "," "," ","Mean Sale Price (Euro)",79148,17025,448161,54951,22797,3000,0,67154,11350
" "," "," "," "," ","Median Price (Euro)",0,0,200000,1,0,0,0,0,11350
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",106,62,63,43,27,43,52,45,29
" "," "," "," "," ","Value of Sales (Euro Million)",15.4,3.7,4.1,2.6,0.7,2.1,4.5,4.1,2.6
" "," "," "," "," ","Mean Sale Price (Euro)",145008,59827,65549,59615,24545,48508,86106,92108,88114
" "," "," "," "," ","Median Price (Euro)",153225,0,0,1,0,1,27496,0,0
