"Business Demography NACE Rev 2 by Employment Size, County, statistical",,,,,,,,,,,,
indicator and Year,,,,,,,,,,,,
,,,,,,,,,,,,
 , , ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 , ,Active Enterprises (Number),288,244,208,197,200,201,210,233,262,273
 , ,Persons Engaged (Number),8606,6969,6158,5876,6022,6073,6205,6808,7627,8034
 , ,Employees (Number),8511,6881,6096,5816,5966,6042,6180,6773,7589,8006
 ,Longford,,,,,,,,,,,
 , ,Active Enterprises (Number),48,31,35,30,30,36,37,32,40,45
 , ,Persons Engaged (Number),1513,966,1034,864,879,1107,1113,979,1196,1360
 , ,Employees (Number),1507,962,1027,857,875,1103,1110,977,1190,1353
 ,Louth,,,,,,,,,,,
 , ,Active Enterprises (Number),172,141,122,123,120,124,145,157,168,162
 , ,Persons Engaged (Number),4787,4038,3495,3551,3337,3533,4035,4438,4785,4759
 , ,Employees (Number),4758,4019,3472,3531,3323,3521,4020,4419,4767,4743
